0,Id,IdType,description
Mapoly0001s0018,GO:0019773 GO:0051603 GO:0006511 PTHR11599:SF13 GO:0004175 K02728 GO:0004298 PF10584 GO:0005839 KOG0178 PF00227 3.4.25.1 PTHR11599,GO GO GO PANTHER GO KEGGORTH GO PFAM GO KOG PFAM EC PANTHER,"proteasome core complex, alpha-subunit complex proteolysis involved in cellular protein catabolic process ubiquitin-dependent protein catabolic process PROTEASOME SUBUNIT ALPHA TYPE 4 endopeptidase activity 20S proteasome subunit alpha 3 [EC:3.4.25.1] threonine-type endopeptidase activity Proteasome subunit A N-terminal signature proteasome core complex 20S proteasome, regulatory subunit alpha type PSMA4/PRE9 Proteasome subunit Proteasome endopeptidase complex. PROTEASOME SUBUNIT ALPHA/BETA"
Mapoly0001s0020,PF13837,PFAM,Myb/SANT-like DNA-binding domain
Mapoly0001s0021,GO:0006355 GO:0043565 GO:0003700 PTHR13301 PF00170,GO GO GO PANTHER PFAM,"regulation of transcription, DNA-dependent sequence-specific DNA binding sequence-specific DNA binding transcription factor activity X-BOX TRANSCRIPTION FACTOR-RELATED bZIP transcription factor"
Mapoly0001s0022,GO:0016020 PTHR30566 PTHR30566:SF6 GO:0055085 PF00924,GO PANTHER PANTHER GO PFAM,membrane YNAI-RELATED MECHANOSENSITIVE ION CHANNEL nan transmembrane transport Mechanosensitive ion channel
Mapoly0001s0023,PTHR11802:SF8 PF00450 3.4.16.5 K13289 PTHR11802 KOG1282 GO:0004185 GO:0006508,PANTHER PFAM EC KEGGORTH PANTHER KOG GO GO,SERINE CARBOXYPEPTIDASE II (CARBOXYPEPTIDASE D) (PLANTS) Serine carboxypeptidase Carboxypeptidase C. cathepsin A (carboxypeptidase C) [EC:3.4.16.5] SERINE PROTEASE FAMILY S10 SERINE CARBOXYPEPTIDASE Serine carboxypeptidases (lysosomal cathepsin A) serine-type carboxypeptidase activity proteolysis
Mapoly0001s0024,GO:0003677 KOG2402 GO:0006352 GO:0016570 PF03126 GO:0005634 PTHR13115:SF8 PTHR13115,GO KOG GO GO PFAM GO PANTHER PANTHER,"DNA binding Paf1/RNA polymerase II complex, RTF1 component (involved in regulation of TATA box-binding protein) DNA-dependent transcription, initiation histone modification Plus-3 domain nucleus SUBFAMILY NOT NAMED UNCHARACTERIZED"
Mapoly0001s0025,GO:0016020 PF00504 K08915 PTHR21649 PTHR21649:SF6 GO:0009765,GO PFAM KEGGORTH PANTHER PANTHER GO,"membrane Chlorophyll A-B binding protein light-harvesting complex II chlorophyll a/b binding protein 4 CHLOROPHYLL A/B BINDING PROTEIN nan photosynthesis, light harvesting"
Mapoly0001s0027,PF01471,PFAM,Putative peptidoglycan binding domain
Mapoly0001s0028,KOG1659 GO:0043565 PTHR10252:SF5 PF00808 GO:0005622 PTHR10252,KOG GO PANTHER PFAM GO PANTHER,"Class 2 transcription repressor NC2, alpha subunit (DRAP1) sequence-specific DNA binding DR1-ASSOCIATED COREPRESSOR Histone-like transcription factor (CBF/NF-Y) and archaeal histone intracellular HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED"
Mapoly0001s0029,PF01979 3.5.2.3 K01465 GO:0016787 PTHR11647 KOG2902 PTHR11647:SF59,PFAM EC KEGGORTH GO PANTHER KOG PANTHER,Amidohydrolase family Dihydroorotase. dihydroorotase [EC:3.5.2.3] hydrolase activity AMINOHYDROLASE Dihydroorotase nan
Mapoly0001s0030,GO:0055114 KOG1430 GO:0006694 GO:0016616 PF01073 PF02453 PTHR10366:SF242 GO:0003854 PTHR10366,GO KOG GO GO PFAM PFAM PANTHER GO PANTHER,"oxidation-reduction process C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases steroid biosynthetic process oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor 3-beta hydroxysteroid dehydrogenase/isomerase family Reticulon nan 3-beta-hydroxy-delta5-steroid dehydrogenase activity NAD DEPENDENT EPIMERASE/DEHYDRATASE"
Mapoly0001s0031,GO:0005524 PF00069 GO:0004672 GO:0006468 KOG0594 PTHR11584 PTHR11584:SF355,GO PFAM GO GO KOG PANTHER PANTHER,ATP binding Protein kinase domain protein kinase activity protein phosphorylation Protein kinase PCTAIRE and related kinases SERINE/THREONINE PROTEIN KINASE nan
Mapoly0001s0032,GO:0008168 PTHR10108 PF03141 PTHR10108:SF692,GO PANTHER PFAM PANTHER,methyltransferase activity METHYLTRANSFERASE Putative S-adenosyl-L-methionine-dependent methyltransferase nan
Mapoly0001s0033,PTHR11227 GO:0005515 PTHR11227:SF25 PF00400 KOG2111,PANTHER GO PANTHER PFAM KOG,"WD-REPEAT PROTEIN INTERACTING WITH PHOSPHOINOSIDES (WIPI)-RELATED protein binding SUBFAMILY NOT NAMED WD domain, G-beta repeat Uncharacterized conserved protein, contains WD40 repeats"
Mapoly0001s0037,PTHR12864 PF10607 PTHR12864:SF15 KOG2659,PANTHER PFAM PANTHER KOG,RAN BINDING PROTEIN 9-RELATED CTLH/CRA C-terminal to LisH motif domain nan LisH motif-containing protein
Mapoly0001s0038,GO:0016021 PTHR10766:SF41 PF02990 KOG1277 PTHR10766,GO PANTHER PFAM KOG PANTHER,"integral to membrane nan Endomembrane protein 70 Endosomal membrane proteins, EMP70 TRANSMEMBRANE 9 SUPERFAMILY PROTEIN"
Mapoly0001s0039,PF03914 PTHR12048 KOG2038,PFAM PANTHER KOG,CBF/Mak21 family CCAAT-BINDING FACTOR-RELATED CAATT-binding transcription factor/60S ribosomal subunit biogenesis protein
Mapoly0001s0040,PTHR12466:SF8 PF05179 KOG3786 PTHR12466,PANTHER PFAM KOG PANTHER,"SUBFAMILY NOT NAMED RNA pol II accessory factor, Cdc73 family RNA polymerase II assessory factor Cdc73p CDC73 DOMAIN PROTEIN"
Mapoly0001s0041,GO:0003677 GO:0005524 GO:0005515 KOG0386 PF00439 PTHR10799 PF00176 PTHR10799:SF597 PF00271,GO GO GO KOG PFAM PANTHER PFAM PANTHER PFAM,"DNA binding ATP binding protein binding Chromatin remodeling complex SWI/SNF, component SWI2 and related ATPases (DNA/RNA helicase superfamily) Bromodomain SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED SNF2 family N-terminal domain nan Helicase conserved C-terminal domain"
Mapoly0001s0042,PF12095,PFAM,Protein of unknown function (DUF3571)
Mapoly0001s0044,PTHR31110:SF2 PTHR31110,PANTHER PANTHER,nan FAMILY NOT NAMED
Mapoly0001s0045,PTHR21573:SF0 KOG2103 PTHR21573 GO:0072546 PF13360 PF07774,PANTHER KOG PANTHER GO PFAM PFAM,SUBFAMILY NOT NAMED Uncharacterized conserved protein UNCHARACTERIZED ER membrane protein complex PQQ-like domain Protein of unknown function (DUF1620)
Mapoly0001s0046,GO:0016020 1.6.99.3 GO:0008137 K11352 PTHR12910 GO:0009055 KOG3382 1.6.5.3 PF05071 PTHR12910:SF2,GO EC GO KEGGORTH PANTHER GO KOG EC PFAM PANTHER,"membrane NADH dehydrogenase. NADH dehydrogenase (ubiquinone) activity NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 12 [EC:1.6.5.3 1.6.99.3] NADH-UBIQUINONE OXIDOREDUCTASE SUBUNIT B17.2 electron carrier activity NADH:ubiquinone oxidoreductase, B17.2 subunit NADH:ubiquinone reductase (H(+)-translocating). NADH ubiquinone oxidoreductase subunit NDUFA12 nan"
Mapoly0001s0047,PTHR31970 PTHR31970:SF0,PANTHER PANTHER,FAMILY NOT NAMED SUBFAMILY NOT NAMED
Mapoly0001s0049,PF12638 PTHR31750:SF3 PTHR31750,PFAM PANTHER PANTHER,Staygreen protein nan FAMILY NOT NAMED
Mapoly0001s0050,PTHR32133 PTHR32133:SF83 GO:0005515 PF00646,PANTHER PANTHER GO PFAM,FAMILY NOT NAMED nan protein binding F-box domain
Mapoly0001s0051,PTHR32133 PTHR32133:SF83 GO:0005515 PF00646,PANTHER PANTHER GO PFAM,FAMILY NOT NAMED nan protein binding F-box domain
Mapoly0001s0052,K12602 KOG0265 GO:0005515 PTHR22841 PF00400,KEGGORTH KOG GO PANTHER PFAM,"WD repeat-containing protein 61 U5 snRNP-specific protein-like factor and related proteins protein binding FAMILY NOT NAMED WD domain, G-beta repeat"
Mapoly0001s0055,PF12854 PF01535 PTHR24015 PF13041,PFAM PFAM PANTHER PFAM,PPR repeat PPR repeat FAMILY NOT NAMED PPR repeat family
Mapoly0001s0057,GO:0015035 PTHR13887 PF01323 PTHR13887:SF12,GO PANTHER PFAM PANTHER,protein disulfide oxidoreductase activity GLUTATHIONE S-TRANSFERASE KAPPA DSBA-like thioredoxin domain nan
Mapoly0001s0058,GO:0009058 GO:0030170 KOG0256 PF00155 PTHR11751 PTHR11751:SF328,GO GO KOG PFAM PANTHER PANTHER,"biosynthetic process pyridoxal phosphate binding 1-aminocyclopropane-1-carboxylate synthase, and related proteins Aminotransferase class I and II SUBGROUP I AMINOTRANSFERASE RELATED nan"
Mapoly0001s0061,K09422 KOG0048 PTHR10641:SF221 PTHR10641 PF13921,KEGGORTH KOG PANTHER PANTHER PFAM,"myb proto-oncogene protein, plant Transcription factor, Myb superfamily nan MYB-LIKE DNA-BINDING PROTEIN MYB Myb-like DNA-binding domain"
Mapoly0001s0062,K08506 GO:0005515 PTHR12380 KOG3385 PTHR12380:SF19 PF05739,KEGGORTH GO PANTHER KOG PANTHER PFAM,syntaxin of plants SYP7 protein binding SYNTAXIN V-SNARE SUBFAMILY NOT NAMED SNARE domain
Mapoly0001s0063,PTHR11635 PF00027,PANTHER PFAM,CAMP-DEPENDENT PROTEIN KINASE REGULATORY CHAIN Cyclic nucleotide-binding domain
Mapoly0001s0064,GO:0006396 GO:0003723 PTHR12029 PTHR12029:SF48 PF00588 GO:0008173 KOG0838,GO GO PANTHER PANTHER PFAM GO KOG,"RNA processing RNA binding RNA METHYLTRANSFERASE nan SpoU rRNA Methylase family RNA methyltransferase activity RNA Methylase, SpoU family"
Mapoly0001s0065,GO:0019867 PTHR12815 PF07244 PTHR12815:SF7 PF01103,GO PANTHER PFAM PANTHER PFAM,outer membrane SORTING AND ASSEMBLY MACHINERY (SAM50) PROTEIN Surface antigen variable number repeat nan Surface antigen
Mapoly0001s0066,PTHR12770 PF04884 KOG4249,PANTHER PFAM KOG,FAMILY NOT NAMED Vitamin B6 photo-protection and homoeostasis Uncharacterized conserved protein
Mapoly0001s0070,PTHR10994:SF61 PTHR10994 PF02453 KOG1792,PANTHER PANTHER PFAM KOG,nan RETICULON Reticulon Reticulon
Mapoly0001s0071,GO:0005506 GO:0055114 GO:0016705 PTHR24298:SF57 GO:0020037 PTHR24298 PF00067,GO GO GO PANTHER GO PANTHER PFAM,"iron ion binding oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen nan heme binding FAMILY NOT NAMED Cytochrome P450"
Mapoly0001s0073,PF13964 PTHR24412 GO:0005515 PF01344,PFAM PANTHER GO PFAM,Kelch motif FAMILY NOT NAMED protein binding Kelch motif
Mapoly0001s0074,PTHR11062:SF56 PTHR11062 KOG1021 PF03016,PANTHER PANTHER KOG PFAM,nan EXOSTOSIN (HEPARAN SULFATE GLYCOSYLTRANSFERASE)-RELATED Acetylglucosaminyltransferase EXT1/exostosin 1 Exostosin family
Mapoly0001s0075,PF14291 PTHR11697 PTHR11697:SF74,PFAM PANTHER PANTHER,Domain of unknown function (DUF4371) GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN HAT DIMERISATION DOMAIN-CONTAINING PROTEIN / TRANSPOSASE-RELATED
Mapoly0001s0076,PF00225 GO:0005524 PTHR24115 KOG4280 PF06548 GO:0005871 GO:0007018 GO:0008017 PTHR24115:SF413 GO:0003777,PFAM GO PANTHER KOG PFAM GO GO GO PANTHER GO,Kinesin motor domain ATP binding FAMILY NOT NAMED Kinesin-like protein Kinesin-related kinesin complex microtubule-based movement microtubule binding nan microtubule motor activity
Mapoly0001s0077,KOG1021 PF03016 PTHR11062:SF43 PTHR11062,KOG PFAM PANTHER PANTHER,Acetylglucosaminyltransferase EXT1/exostosin 1 Exostosin family nan EXOSTOSIN (HEPARAN SULFATE GLYCOSYLTRANSFERASE)-RELATED
Mapoly0001s0078,KOG1483 PF01545 GO:0016021 GO:0055085 GO:0006812 PTHR11562:SF31 GO:0008324 PTHR11562,KOG PFAM GO GO GO PANTHER GO PANTHER,Zn2+ transporter ZNT1 and related Cd2+/Zn2+ transporters (cation diffusion facilitator superfamily) Cation efflux family integral to membrane transmembrane transport cation transport nan cation transmembrane transporter activity CATION EFFLUX PROTEIN/ ZINC TRANSPORTER
Mapoly0001s0079,PTHR24322 PTHR24322:SF309 KOG0725 GO:0016491 GO:0008152 PF00106,PANTHER PANTHER KOG GO GO PFAM,FAMILY NOT NAMED nan Reductases with broad range of substrate specificities oxidoreductase activity metabolic process short chain dehydrogenase
Mapoly0001s0080,PTHR22870 PF13540 KOG1427 PF00415 PTHR22870:SF26,PANTHER PFAM KOG PFAM PANTHER,"REGULATOR OF CHROMOSOME CONDENSATION Regulator of chromosome condensation (RCC1) repeat Uncharacterized conserved protein, contains RCC1 domain Regulator of chromosome condensation (RCC1) repeat UVB-RESISTANCE PROTEIN UVR8-RELATED"
Mapoly0001s0081,PTHR13621 PF10253 KOG3903,PANTHER PFAM KOG,"FAMILY NOT NAMED Mitotic checkpoint regulator, MAD2B-interacting Mitotic checkpoint protein PRCC"
Mapoly0001s0082,PTHR24089 PF00153 KOG0756 PTHR24089:SF163,PANTHER PFAM KOG PANTHER,FAMILY NOT NAMED Mitochondrial carrier protein Mitochondrial tricarboxylate/dicarboxylate carrier proteins nan
Mapoly0001s0083,PF08573 PTHR15107,PFAM PANTHER,DNA repair protein endonuclease SAE2/CtIP C-terminus RETINOBLASTOMA BINDING PROTEIN 8
Mapoly0001s0084,PF13374 KOG1840 PF13424 PTHR19959 PTHR19959:SF120,PFAM KOG PFAM PANTHER PANTHER,Tetratricopeptide repeat Kinesin light chain Tetratricopeptide repeat KINESIN LIGHT CHAIN nan
Mapoly0001s0085,GO:0005515 KOG0282 PTHR19852 K12816 PF00400,GO KOG PANTHER KEGGORTH PFAM,"protein binding mRNA splicing factor FAMILY NOT NAMED pre-mRNA-processing factor 17 WD domain, G-beta repeat"
Mapoly0001s0090,PF06212 KOG3300 1.6.99.3 K11353 1.6.5.3 PTHR12966 PTHR12966:SF0,PFAM KOG EC KEGGORTH EC PANTHER PANTHER,"GRIM-19 protein NADH:ubiquinone oxidoreductase, B16.6 subunit/cell death-regulatory protein NADH dehydrogenase. NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 13 [EC:1.6.5.3 1.6.99.3] NADH:ubiquinone reductase (H(+)-translocating). NADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX SUBUNIT 13 NADH DEHYDROGENASE [UBIQUINONE] 1 ALPHA SUBCOMPLEX SUBUNIT 13"
Mapoly0001s0091,PF11595,PFAM,Protein of unknown function (DUF3245)
Mapoly0001s0092,PF06695,PFAM,Putative small multi-drug export protein
Mapoly0001s0093,PF05684,PFAM,Protein of unknown function (DUF819)
Mapoly0001s0094,KOG2551 PF03959 PTHR22778 PTHR22778:SF0,KOG PFAM PANTHER PANTHER,Phospholipase/carboxyhydrolase Serine hydrolase (FSH1) OVARIAN CANCER GENE-2 PROTEIN-RELATED SUBFAMILY NOT NAMED
Mapoly0001s0096,3.1.1.11 GO:0030599 PF01095 GO:0005618 GO:0042545 K01051 PTHR31321 PTHR31321:SF8,EC GO PFAM GO GO KEGGORTH PANTHER PANTHER,Pectinesterase. pectinesterase activity Pectinesterase cell wall cell wall modification pectinesterase [EC:3.1.1.11] FAMILY NOT NAMED nan
Mapoly0001s0098,PF00139 GO:0030246 PTHR32401,PFAM GO PANTHER,Legume lectin domain carbohydrate binding FAMILY NOT NAMED
Mapoly0001s0099,GO:0050660 1.6.5.4 PTHR22912 GO:0055114 PTHR22912:SF144 PF00070 GO:0016491 KOG1336 PF07992 K08232,GO EC PANTHER GO PANTHER PFAM GO KOG PFAM KEGGORTH,flavin adenine dinucleotide binding Monodehydroascorbate reductase (NADH). DISULFIDE OXIDOREDUCTASE oxidation-reduction process nan Pyridine nucleotide-disulphide oxidoreductase oxidoreductase activity Monodehydroascorbate/ferredoxin reductase Pyridine nucleotide-disulphide oxidoreductase monodehydroascorbate reductase (NADH) [EC:1.6.5.4]
Mapoly0001s0100,GO:0010215 PF04833 GO:0031225 GO:0016049 PTHR31052 PTHR31052:SF3,GO PFAM GO GO PANTHER PANTHER,cellulose microfibril organization COBRA-like protein anchored to membrane cell growth FAMILY NOT NAMED nan
Mapoly0001s0103,GO:0015035 KOG0911 GO:0045454 PF00462 PTHR10293:SF16 GO:0009055 PTHR10293,GO KOG GO PFAM PANTHER GO PANTHER,protein disulfide oxidoreductase activity Glutaredoxin-related protein cell redox homeostasis Glutaredoxin GLUTAREDOXIN-RELATED PROTEIN electron carrier activity GLUTAREDOXIN-RELATED PROTEIN
Mapoly0001s0104,4.2.1.35 PF00694 4.2.1.33 K01704 GO:0008152 PTHR11670,EC PFAM EC KEGGORTH GO PANTHER,(R)-2-methylmalate dehydratase. Aconitase C-terminal domain 3-isopropylmalate dehydratase. 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35] metabolic process ACONITASE
Mapoly0001s0105,K02541 KOG0479 GO:0003677 GO:0005524 GO:0006260 PTHR11630:SF46 PF00493 PTHR11630 PF14551,KEGGORTH KOG GO GO GO PANTHER PFAM PANTHER PFAM,"minichromosome maintenance protein 3 DNA replication licensing factor, MCM3 component DNA binding ATP binding DNA replication DNA REPLICATION LICENSING FACTOR MCM3 MCM2/3/5 family DNA REPLICATION LICENSING FACTOR MCM N-terminal domain"
Mapoly0001s0106,PF00241 PTHR11913:SF20 GO:0015629 GO:0030042 KOG1735 GO:0005622 GO:0003779 K05765 PTHR11913,PFAM PANTHER GO GO KOG GO GO KEGGORTH PANTHER,Cofilin/tropomyosin-type actin-binding protein nan actin cytoskeleton actin filament depolymerization Actin depolymerizing factor intracellular actin binding cofilin COFILIN-RELATED
Mapoly0001s0107,PTHR31852 PTHR31852:SF8,PANTHER PANTHER,FAMILY NOT NAMED nan
Mapoly0001s0109,GO:0009523 GO:0042651 GO:0009654 PF04725 K03541 GO:0015979,GO GO GO PFAM KEGGORTH GO,photosystem II thylakoid membrane oxygen evolving complex Photosystem II 10 kDa polypeptide PsbR photosystem II 10kDa protein photosynthesis
Mapoly0001s0110,GO:0003755 PTHR11071:SF78 PTHR11071 PF00160 GO:0000413 GO:0006457 KOG0880,GO PANTHER PANTHER PFAM GO GO KOG,peptidyl-prolyl cis-trans isomerase activity PEPTIDYL-PROLYL CIS-TRANS ISOMERASE PEPTIDYL-PROLYL CIS-TRANS ISOMERASE Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD protein peptidyl-prolyl isomerization protein folding Peptidyl-prolyl cis-trans isomerase
Mapoly0001s0111,KOG1187 PF07714 GO:0004672 PF12819 GO:0006468 PF12799 PTHR24420,KOG PFAM GO PFAM GO PFAM PANTHER,Serine/threonine protein kinase Protein tyrosine kinase protein kinase activity Carbohydrate-binding protein of the ER protein phosphorylation Leucine Rich repeats (2 copies) LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE
Mapoly0001s0112,GO:0005840 K02882 KOG0829 PTHR10052 PF01775 GO:0003735 GO:0006412,GO KEGGORTH KOG PANTHER PFAM GO GO,ribosome large subunit ribosomal protein L18Ae 60S ribosomal protein L18A 60S RIBOSOMAL PROTEIN L18A Ribosomal L18ae/LX protein domain structural constituent of ribosome translation
Mapoly0001s0113,2.4.1.132 GO:0004378 GO:0009058 PF00534 KOG0853 GO:0033164 PF13439 PTHR12526 K03843 PTHR12526:SF221 2.4.1.-,EC GO GO PFAM KOG GO PFAM PANTHER KEGGORTH PANTHER EC,"GDP-Man:Man(1)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase. GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity biosynthetic process Glycosyl transferases group 1 Glycosyltransferase glycolipid 6-alpha-mannosyltransferase activity Glycosyltransferase Family 4 GLYCOSYLTRANSFERASE alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.-] SUBFAMILY NOT NAMED Hexosyltransferases."
Mapoly0001s0114,PTHR31988:SF1 PF03629 PTHR31988,PANTHER PFAM PANTHER,nan Domain of unknown function (DUF303) FAMILY NOT NAMED
Mapoly0001s0115,PTHR24413 PTHR24413:SF87 PF00651 GO:0005515 PF12796,PANTHER PANTHER PFAM GO PFAM,FAMILY NOT NAMED nan BTB/POZ domain protein binding Ankyrin repeats (3 copies)
Mapoly0001s0116,K12603 KOG0620 PF03372 PTHR12121:SF34 3.1.-.- PTHR12121,KEGGORTH KOG PFAM PANTHER EC PANTHER,CCR4-NOT transcription complex subunit 6 [EC:3.1.-.-] Glucose-repressible alcohol dehydrogenase transcriptional effector CCR4 and related proteins Endonuclease/Exonuclease/phosphatase family nan Acting on ester bonds. CARBON CATABOLITE REPRESSOR PROTEIN 4
Mapoly0001s0118,GO:0005515 PF00856 PTHR22884 PTHR22884:SF281,GO PFAM PANTHER PANTHER,protein binding SET domain SET DOMAIN PROTEINS nan
Mapoly0001s0120,PF00225 GO:0005524 PTHR24115 KOG0242 PTHR24115:SF70 GO:0005871 GO:0007018 GO:0008017 GO:0003777,PFAM GO PANTHER KOG PANTHER GO GO GO GO,Kinesin motor domain ATP binding FAMILY NOT NAMED Kinesin-like protein SUBFAMILY NOT NAMED kinesin complex microtubule-based movement microtubule binding microtubule motor activity
Mapoly0001s0121,PTHR23238:SF26 PTHR23238 KOG1995 GO:0008270 PF00641,PANTHER PANTHER KOG GO PFAM,nan RNA BINDING PROTEIN Conserved Zn-finger protein zinc ion binding Zn-finger in Ran binding protein and others
Mapoly0001s0122,KOG0157 PTHR24296:SF8 GO:0005506 GO:0055114 GO:0016705 PTHR24296 GO:0020037 PF00067,KOG PANTHER GO GO GO PANTHER GO PFAM,"Cytochrome P450 CYP4/CYP19/CYP26 subfamilies nan iron ion binding oxidation-reduction process oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen FAMILY NOT NAMED heme binding Cytochrome P450"
Mapoly0001s0123,PTHR32133 PTHR32133:SF83 GO:0005515 PF00646,PANTHER PANTHER GO PFAM,FAMILY NOT NAMED nan protein binding F-box domain
Mapoly0001s0126,PF05216 KOG3012 PTHR12841,PFAM KOG PANTHER,UNC-50 family Uncharacterized conserved protein FAMILY NOT NAMED
Mapoly0001s0127,KOG1493 PTHR15242 PF00628 GO:0005515 PF13923 PTHR15242:SF5,KOG PANTHER PFAM GO PFAM PANTHER,"Anaphase-promoting complex (APC), subunit 11 SPLICING FACTOR, ARGININE/SERINE-RICH 2,RNAP C-TERM INTERACTING PROTEIN PHD-finger protein binding Zinc finger, C3HC4 type (RING finger) nan"
Mapoly0001s0129,PTHR19858 GO:0005515 PF04003 K14558 KOG0291 PF00400,PANTHER GO PFAM KEGGORTH KOG PFAM,"WD40 REPEAT PROTEIN protein binding Dip2/Utp12 Family periodic tryptophan protein 2 WD40-repeat-containing subunit of the 18S rRNA processing complex WD domain, G-beta repeat"
Mapoly0001s0130,K00318 GO:0004657 PTHR13914:SF0 PF01619 GO:0006562 1.5.99.8 PTHR13914 KOG0186,KEGGORTH GO PANTHER PFAM GO EC PANTHER KOG,proline dehydrogenase [EC:1.5.99.8] proline dehydrogenase activity SUBFAMILY NOT NAMED Proline dehydrogenase proline catabolic process Proline dehydrogenase. PROLINE OXIDASE Proline oxidase
Mapoly0001s0131,K00813 PTHR11879 GO:0009058 GO:0030170 KOG1411 2.6.1.1 GO:0006520 PTHR11879:SF1 PF00155 GO:0008483,KEGGORTH PANTHER GO GO KOG EC GO PANTHER PFAM GO,aspartate aminotransferase [EC:2.6.1.1] ASPARTATE AMINOTRANSFERASE biosynthetic process pyridoxal phosphate binding Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT1/GOT2 Aspartate transaminase. cellular amino acid metabolic process gb def: aspartate/aromatic aminotransferase fusobacterium nucleatum subsp. nucleatum at Aminotransferase class I and II transaminase activity
